Projeto,Classe,CBO,DIT,LCOM
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/monolithic-architecture/src/main/java/com/iluwatar/monolithic/exceptions/NonExistentProductException.java,1,0,4
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/private-class-data/src/main/java/com/iluwatar/privateclassdata/App.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/strategy/src/test/java/com/iluwatar/strategy/DragonSlayingStrategyTest.java,0,3,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/event-aggregator/src/main/java/com/iluwatar/event/aggregator/LordBaelish.java,2,4,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/abstract-factory/src/main/java/com/iluwatar/abstractfactory/KingdomFactory.java,4,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/retry/src/test/java/com/iluwatar/retry/RetryTest.java,0,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/sharding/src/test/java/com/iluwatar/sharding/HashShardManagerTest.java,0,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/singleton/src/main/java/com/iluwatar/singleton/IvoryTower.java,3,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/template-method/src/test/java/com/iluwatar/templatemethod/HalflingThiefTest.java,0,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/caching/src/main/java/com/iluwatar/caching/UserAccount.java,9,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/monolithic-architecture/src/main/java/com/iluwatar/monolithic/model/Order.java,2,9,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/front-controller/src/test/java/com/iluwatar/front/controller/FrontControllerTest.java,0,9,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/facade/src/test/java/com/iluwatar/facade/DwarvenGoldmineFacadeTest.java,0,3,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/App.java,0,7,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/data-access-object/src/main/java/com/iluwatar/dao/CustomerDao.java,3,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/double-checked-locking/src/main/java/com/iluwatar/doublechecked/locking/Inventory.java,2,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/step-builder/src/main/java/com/iluwatar/stepbuilder/CharacterStepBuilder.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/factory-kit/src/main/java/com/iluwatar/factorykit/Spear.java,1,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/spatial-partition/src/test/java/com/iluwatar/spatialpartition/RectTest.java,0,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/ambassador/src/test/java/com/iluwatar/ambassador/AppTest.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/service-layer/src/main/java/com/iluwatar/servicelayer/spellbook/Spellbook.java,10,12,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/feature-toggle/src/main/java/com/iluwatar/featuretoggle/user/User.java,8,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/virtual-proxy/src/test/java/com/iluwatar/virtual/proxy/VideoObjectProxyTest.java,0,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/feature-toggle/src/test/java/com/iluwatar/featuretoggle/pattern/propertiesversion/PropertiesFeatureToggleVersionTest.java,0,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/special-case/src/main/java/com/iluwatar/specialcase/Db.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/feature-toggle/src/main/java/com/iluwatar/featuretoggle/pattern/propertiesversion/PropertiesFeatureToggleVersion.java,2,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/table-module/src/main/java/com/iluwatar/tablemodule/App.java,1,5,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/lockable-object/src/main/java/com/iluwatar/lockableobject/domain/CreatureStats.java,0,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/special-case/src/main/java/com/iluwatar/specialcase/Db.java,0,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/template-method/src/test/java/com/iluwatar/templatemethod/HitAndRunMethodTest.java,0,2,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/commander/src/main/java/com/iluwatar/commander/employeehandle/EmployeeHandle.java,4,5,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/service-to-worker/src/test/java/com/iluwatar/servicetoworker/GiantControllerTest.java,0,7,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/version-number/src/main/java/com/iluwatar/versionnumber/BookRepository.java,2,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/data-transfer-object/src/main/java/com/iluwatar/datatransfer/product/ProductDto.java,0,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/identity-map/src/test/java/com/iluwatar/identitymap/PersonDbSimulatorImplementationTest.java,0,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/throttling/src/main/java/com/iluwatar/throttling/CallsCount.java,6,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/saga/src/main/java/com/iluwatar/saga/choreography/Saga.java,6,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/converter/src/test/java/com/iluwatar/converter/AppTest.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/intercepting-filter/src/main/java/com/iluwatar/intercepting/filter/OrderFilter.java,2,2,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/poison-pill/src/main/java/com/iluwatar/poison/pill/Message.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/leader-election/src/test/java/com/iluwatar/leaderelection/ring/RingMessageManagerTest.java,0,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/microservices-log-aggregation/src/main/java/com/iluwatar/logaggregation/LogProducer.java,1,5,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/double-buffer/src/main/java/com/iluwatar/doublebuffer/Pixel.java,4,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/resource-acquisition-is-initialization/src/main/java/com/iluwatar/resource/acquisition/is/initialization/SlidingDoor.java,2,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/iterator/src/test/java/com/iluwatar/iterator/list/TreasureChestTest.java,0,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/model-view-presenter/src/main/java/com/iluwatar/model/view/presenter/FileLoader.java,5,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/strategy/src/main/java/com/iluwatar/strategy/LambdaStrategy.java,0,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/version-number/src/main/java/com/iluwatar/versionnumber/BookNotFoundException.java,1,0,3
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/microservices-distributed-tracing/payment-microservice/src/main/java/com/iluwatar/payment/microservice/Main.java,1,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/unit-of-work/src/main/java/com/iluwatar/unitofwork/ArmsDealer.java,3,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/game-loop/src/main/java/com/iluwatar/gameloop/GameController.java,8,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/event-driven-architecture/src/main/java/com/iluwatar/eda/App.java,0,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/marker-interface/src/test/java/GuardTest.java,0,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/transaction-script/src/main/java/com/iluwatar/transactionscript/HotelDao.java,1,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/model-view-intent/src/main/java/com/iluwatar/model/view/intent/App.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/type-object/src/main/java/com/iluwatar/typeobject/CandyGame.java,3,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/front-controller/src/test/java/com/iluwatar/front/controller/AppTest.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/pipeline/src/main/java/com/iluwatar/pipeline/RemoveDigitsHandler.java,3,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/acyclic-visitor/src/main/java/com/iluwatar/acyclicvisitor/HayesVisitor.java,3,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/specification/src/test/java/com/iluwatar/specification/app/AppTest.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/fluent-interface/src/main/java/com/iluwatar/fluentinterface/fluentiterable/simple/SimpleFluentIterable.java,3,5,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/flyweight/src/main/java/com/iluwatar/flyweight/PoisonPotion.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/data-transfer-object/src/main/java/com/iluwatar/datatransfer/product/ProductDto.java,0,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/fluent-interface/src/main/java/com/iluwatar/fluentinterface/app/App.java,1,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/collecting-parameter/src/main/java/com/iluwatar/collectingparameter/PrinterItem.java,3,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/game-loop/src/test/java/com/iluwatar/gameloop/GameLoopTest.java,0,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/abstract-factory/src/main/java/com/iluwatar/abstractfactory/Army.java,6,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/mute-idiom/src/main/java/com/iluwatar/mute/Resource.java,1,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/templateview/src/main/java/com/iluwatar/templateview/HomePageView.java,3,2,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/abstract-document/src/test/java/com/iluwatar/abstractdocument/AppTest.java,0,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/microservices-api-gateway/price-microservice/src/test/java/com/iluwatar/price/microservice/PriceControllerTest.java,0,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/templateview/src/main/java/com/iluwatar/templateview/ContactPageView.java,3,2,2
