Nome,Dono,Estrelas,Releases,Criado em,URL
OpenRefine,OpenRefine,11210,68,2012-10-15T02:22:48Z,https://github.com/OpenRefine/OpenRefine
debezium,debezium,11205,0,2016-01-22T20:17:05Z,https://github.com/debezium/debezium
plantuml,plantuml,11158,53,2010-11-04T15:55:50Z,https://github.com/plantuml/plantuml
interview,mission-peace,11139,0,2014-07-20T21:27:31Z,https://github.com/mission-peace/interview
FlycoTabLayout,H07000223,11088,4,2015-11-09T01:53:19Z,https://github.com/H07000223/FlycoTabLayout
jsoup,jhy,11087,17,2009-12-19T01:29:58Z,https://github.com/jhy/jsoup
FileDownloader,lingochamp,11079,65,2015-12-22T11:17:16Z,https://github.com/lingochamp/FileDownloader
SlidingMenu,jfeinstein10,11061,0,2012-06-30T05:14:23Z,https://github.com/jfeinstein10/SlidingMenu
androidannotations,androidannotations,11044,0,2012-01-06T08:48:03Z,https://github.com/androidannotations/androidannotations
cas,apereo,11042,290,2011-09-09T01:36:42Z,https://github.com/apereo/cas
SmarterStreaming,daniulive,11023,0,2016-03-26T14:46:02Z,https://github.com/daniulive/SmarterStreaming
trino,trinodb,11014,0,2019-01-19T06:38:14Z,https://github.com/trinodb/trino
javapoet,square,10858,0,2013-02-01T16:56:30Z,https://github.com/square/javapoet
vlayout,alibaba,10790,34,2017-02-27T08:11:47Z,https://github.com/alibaba/vlayout
platform_frameworks_base,aosp-mirror,10707,0,2008-10-21T18:20:37Z,https://github.com/aosp-mirror/platform_frameworks_base
jvm,doocs,10664,0,2018-06-23T01:12:59Z,https://github.com/doocs/jvm
Paper,PaperMC,10650,0,2016-01-22T05:40:19Z,https://github.com/PaperMC/Paper
android-async-http,android-async-http,10632,3,2011-02-20T03:25:07Z,https://github.com/android-async-http/android-async-http
Java-WebSocket,TooTallNate,10624,19,2010-01-20T23:33:04Z,https://github.com/TooTallNate/Java-WebSocket
okhttp-OkGo,jeasonlzy,10610,14,2016-01-15T10:35:24Z,https://github.com/jeasonlzy/okhttp-OkGo
clojure,clojure,10577,0,2010-06-29T20:03:33Z,https://github.com/clojure/clojure
jjwt,jwtk,10544,7,2014-09-13T01:06:24Z,https://github.com/jwtk/jjwt
pkl,apple,10540,13,2024-01-19T17:28:45Z,https://github.com/apple/pkl
auto,google,10488,66,2013-05-22T21:41:56Z,https://github.com/google/auto
JiaoZiVideoPlayer,lipangit,10487,78,2016-02-06T11:04:24Z,https://github.com/lipangit/JiaoZiVideoPlayer
RxPermissions,tbruyelle,10483,11,2015-09-29T13:55:09Z,https://github.com/tbruyelle/RxPermissions
kafka-ui,provectus,10481,25,2019-11-26T15:55:55Z,https://github.com/provectus/kafka-ui
VirtualApp,asLody,10454,0,2016-07-06T13:25:23Z,https://github.com/asLody/VirtualApp
datahub,datahub-project,10435,96,2015-11-18T05:47:40Z,https://github.com/datahub-project/datahub
OpenSearch,opensearch-project,10385,53,2021-01-29T22:10:00Z,https://github.com/opensearch-project/OpenSearch
MVPArms,JessYanCoding,10283,25,2016-08-06T08:49:56Z,https://github.com/JessYanCoding/MVPArms
Activiti,Activiti,10270,1000,2012-09-13T11:34:43Z,https://github.com/Activiti/Activiti
ViewPagerIndicator,JakeWharton,10121,0,2011-08-04T17:13:44Z,https://github.com/JakeWharton/ViewPagerIndicator
resilience4j,resilience4j,10045,35,2015-06-03T09:21:01Z,https://github.com/resilience4j/resilience4j
lawnchair,LawnchairLauncher,9990,29,2017-03-03T13:12:58Z,https://github.com/LawnchairLauncher/lawnchair
Aegis,beemdevelopment,9973,69,2016-08-15T19:10:31Z,https://github.com/beemdevelopment/Aegis
zfile,zfile-dev,9932,61,2019-08-19T13:57:56Z,https://github.com/zfile-dev/zfile
glide-transformations,wasabeef,9919,0,2015-01-09T10:33:29Z,https://github.com/wasabeef/glide-transformations
aws-doc-sdk-examples,awsdocs,9891,0,2016-08-18T19:06:57Z,https://github.com/awsdocs/aws-doc-sdk-examples
easypermissions,googlesamples,9889,12,2015-12-22T18:05:53Z,https://github.com/googlesamples/easypermissions
paascloud-master,paascloud,9874,0,2018-03-17T05:40:43Z,https://github.com/paascloud/paascloud-master
spider-flow,ssssssss-team,9864,2,2020-03-27T11:07:15Z,https://github.com/ssssssss-team/spider-flow
CoreNLP,stanfordnlp,9823,17,2013-06-27T21:13:49Z,https://github.com/stanfordnlp/CoreNLP
JsBridge,uknownothingsnow,9823,0,2015-02-26T12:10:58Z,https://github.com/uknownothingsnow/JsBridge
MagicIndicator,hackware1993,9766,12,2016-06-26T08:20:43Z,https://github.com/hackware1993/MagicIndicator
xpipe,xpipe-io,9763,97,2023-01-27T02:25:38Z,https://github.com/xpipe-io/xpipe
AVLoadingIndicatorView,HarlonWang,9753,1,2015-10-24T20:18:33Z,https://github.com/HarlonWang/AVLoadingIndicatorView
Fragmentation,YoKeyword,9726,30,2016-02-23T08:54:55Z,https://github.com/YoKeyword/Fragmentation
starrocks,StarRocks,9703,134,2021-09-04T02:29:35Z,https://github.com/StarRocks/starrocks
spark,perwendel,9654,0,2011-05-05T11:52:05Z,https://github.com/perwendel/spark
Android-ObservableScrollView,ksoichiro,9651,0,2014-11-08T14:45:20Z,https://github.com/ksoichiro/Android-ObservableScrollView
react-native-camera,react-native-camera,9649,144,2015-04-01T00:54:40Z,https://github.com/react-native-camera/react-native-camera
spring-boot-api-project-seed,lihengming,9627,4,2017-06-23T10:06:30Z,https://github.com/lihengming/spring-boot-api-project-seed
feign,OpenFeign,9617,38,2013-06-26T23:28:16Z,https://github.com/OpenFeign/feign
android-Ultra-Pull-To-Refresh,liaohuqiu,9580,8,2014-11-13T03:13:10Z,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
GmsCore,microg,9578,38,2014-04-23T19:28:47Z,https://github.com/microg/GmsCore
android-gif-drawable,koral--,9578,61,2013-01-30T01:37:46Z,https://github.com/koral--/android-gif-drawable
DanmakuFlameMaster,bilibili,9568,5,2013-08-11T12:18:50Z,https://github.com/bilibili/DanmakuFlameMaster
Mycat-Server,MyCATApache,9547,7,2014-12-04T02:46:54Z,https://github.com/MyCATApache/Mycat-Server
AndroidSlidingUpPanel,umano,9510,8,2013-05-31T18:33:53Z,https://github.com/umano/AndroidSlidingUpPanel
Signal-Server,signalapp,9434,0,2013-12-09T07:10:36Z,https://github.com/signalapp/Signal-Server
sonarqube,SonarSource,9418,59,2011-01-05T11:05:17Z,https://github.com/SonarSource/sonarqube
PocketHub,pockethub,9388,1,2011-09-08T16:52:50Z,https://github.com/pockethub/PocketHub
cim,crossoverJie,9384,8,2018-05-20T15:55:56Z,https://github.com/crossoverJie/cim
AgentWeb,Justson,9304,21,2017-05-12T07:45:56Z,https://github.com/Justson/AgentWeb
spring-reading,xuchengsheng,9294,0,2023-09-15T06:42:44Z,https://github.com/xuchengsheng/spring-reading
testing-samples,android,9245,0,2014-10-11T03:51:27Z,https://github.com/android/testing-samples
AndroidNote,GcsSloop,9233,0,2016-01-04T23:51:36Z,https://github.com/GcsSloop/AndroidNote
CalendarView,huanghaibin-dev,9222,1,2017-03-11T07:16:09Z,https://github.com/huanghaibin-dev/CalendarView
cassandra,apache,9096,0,2009-05-21T02:10:09Z,https://github.com/apache/cassandra
android-gpuimage,cats-oss,9071,0,2012-10-04T08:11:58Z,https://github.com/cats-oss/android-gpuimage
JsonPath,json-path,9068,10,2011-01-24T13:19:19Z,https://github.com/json-path/JsonPath
spring-security,spring-projects,9029,213,2012-01-10T21:50:57Z,https://github.com/spring-projects/spring-security
VirtualAPK,didi,9017,4,2017-06-29T07:25:05Z,https://github.com/didi/VirtualAPK
MaterialDesignLibrary,navasmdc,8983,3,2014-09-30T07:37:17Z,https://github.com/navasmdc/MaterialDesignLibrary
